# Muv pLya L_Lya
-1.950000000000000000e+01 3.994317378925554296e-43 3.392134534590406025e+39
-1.950000000000000000e+01 3.994313865725245516e-43 3.395260557926066875e+39
-1.950000000000000000e+01 3.994310349252698869e-43 3.398389462048202089e+39
-1.950000000000000000e+01 3.994306829507912760e-43 3.401521249613205528e+39
-1.950000000000000000e+01 3.994303306570785529e-43 3.404655923277468635e+39
-1.950000000000000000e+01 3.994299780361438751e-43 3.407793485702945722e+39
-1.950000000000000000e+01 3.994296250879881983e-43 3.410933939551583850e+39
-1.950000000000000000e+01 3.994292718166066786e-43 3.414077287485336124e+39
-1.950000000000000000e+01 3.994289182180062310e-43 3.417223532177266886e+39
-1.950000000000000000e+01 3.994285642961816131e-43 3.420372676289328033e+39
-1.950000000000000000e+01 3.994282100471391029e-43 3.423524722494583907e+39
-1.950000000000000000e+01 3.994278554668860137e-43 3.426679673471657491e+39
-1.950000000000000000e+01 3.994275005634112236e-43 3.429837531893613731e+39
-1.950000000000000000e+01 3.994271453327216476e-43 3.432998300444633647e+39
-1.950000000000000000e+01 3.994267897748180027e-43 3.436161981803339013e+39
-1.950000000000000000e+01 3.994264338857068853e-43 3.439328578653910850e+39
-1.950000000000000000e+01 3.994260776733773328e-43 3.442498093680528967e+39
-1.950000000000000000e+01 3.994257211298427772e-43 3.445670529578486226e+39
-1.950000000000000000e+01 3.994253642551030591e-43 3.448845889037522288e+39
-1.950000000000000000e+01 3.994250070531537328e-43 3.452024174747373790e+39
-1.950000000000000000e+01 3.994246495239958336e-43 3.455205389408891631e+39
-1.950000000000000000e+01 3.994242916636354803e-43 3.458389535722928521e+39
-1.950000000000000000e+01 3.994239334720742659e-43 3.461576616384779740e+39
-1.950000000000000000e+01 3.994235749493121903e-43 3.464766634106410444e+39
-1.950000000000000000e+01 3.994232160993456840e-43 3.467959591588673950e+39
-1.950000000000000000e+01 3.994228569141856301e-43 3.471155491543536020e+39
-1.950000000000000000e+01 3.994224974018224198e-43 3.474354336677406191e+39
-1.950000000000000000e+01 3.994221375542678125e-43 3.477556129713365694e+39
-1.950000000000000000e+01 3.994217773755176014e-43 3.480760873363379686e+39
-1.950000000000000000e+01 3.994214168655729014e-43 3.483968570344974384e+39
-1.950000000000000000e+01 3.994210560244335535e-43 3.487179223381229204e+39
-1.950000000000000000e+01 3.994206948481068709e-43 3.490392835195226585e+39
-1.950000000000000000e+01 3.994203333405882485e-43 3.493609408515603980e+39
-1.950000000000000000e+01 3.994199714978839642e-43 3.496828946071000052e+39
-1.950000000000000000e+01 3.994196093239888552e-43 3.500051450595610895e+39
-1.950000000000000000e+01 3.994192468149099165e-43 3.503276924818075170e+39
-1.950000000000000000e+01 3.994188839706481834e-43 3.506505371478145800e+39
-1.950000000000000000e+01 3.994185207912046914e-43 3.509736793315575102e+39
-1.950000000000000000e+01 3.994181572765802372e-43 3.512971193070118415e+39
-1.950000000000000000e+01 3.994177934267756969e-43 3.516208573492639898e+39
-1.950000000000000000e+01 3.994174292457859875e-43 3.519448937317338063e+39
-1.950000000000000000e+01 3.994170647216294646e-43 3.522692287306195560e+39
-1.950000000000000000e+01 3.994166998662902419e-43 3.525938626204520930e+39
-1.950000000000000000e+01 3.994163346757742786e-43 3.529187956768739389e+39
-1.950000000000000000e+01 3.994159691420943694e-43 3.532440281749719932e+39
-1.950000000000000000e+01 3.994156032772340704e-43 3.535695603920558260e+39
-1.950000000000000000e+01 3.994152370732063356e-43 3.538953926032123368e+39
-1.950000000000000000e+01 3.994148705300116428e-43 3.542215250851954127e+39
-1.950000000000000000e+01 3.994145036476506294e-43 3.545479581147590015e+39
-1.950000000000000000e+01 3.994141364301186902e-43 3.548746919686571114e+39
-1.950000000000000000e+01 3.994137688734233776e-43 3.552017269241993729e+39
-1.950000000000000000e+01 3.994134009775641339e-43 3.555290632592513409e+39
-1.950000000000000000e+01 3.994130327425430302e-43 3.558567012511226459e+39
-1.950000000000000000e+01 3.994126641643665038e-43 3.561846411782344048e+39
-1.950000000000000000e+01 3.994122952510237511e-43 3.565128833184519913e+39
-1.950000000000000000e+01 3.994119259945274077e-43 3.568414279501966432e+39
-1.950000000000000000e+01 3.994115563988729481e-43 3.571702753524453413e+39
-1.950000000000000000e+01 3.994111864600665704e-43 3.574994258041747644e+39
-1.950000000000000000e+01 3.994108161821039086e-43 3.578288795849176972e+39
-1.950000000000000000e+01 3.994104455609907625e-43 3.581586369742066824e+39
-1.950000000000000000e+01 3.994100746007237219e-43 3.584886982510186406e+39
-1.950000000000000000e+01 3.994097032973084275e-43 3.588190636959975405e+39
-1.950000000000000000e+01 3.994093316507470298e-43 3.591497335897876532e+39
-1.950000000000000000e+01 3.994089596610392899e-43 3.594807082124772042e+39
-1.950000000000000000e+01 3.994085873281862433e-43 3.598119878447102831e+39
-1.950000000000000000e+01 3.994082146521895628e-43 3.601435727682424662e+39
-1.950000000000000000e+01 3.994078416330498060e-43 3.604754632637178429e+39
-1.950000000000000000e+01 3.994074682707680084e-43 3.608076596128919895e+39
-1.950000000000000000e+01 3.994070945613510053e-43 3.611401620980759228e+39
-1.950000000000000000e+01 3.994067205087942715e-43 3.614729710010255213e+39
-1.950000000000000000e+01 3.994063461130978864e-43 3.618060866046076055e+39
-1.950000000000000000e+01 3.994059713702694025e-43 3.621395091905777517e+39
-1.950000000000000000e+01 3.994055962803097756e-43 3.624732390423587653e+39
-1.950000000000000000e+01 3.994052208472136837e-43 3.628072764433732708e+39
-1.950000000000000000e+01 3.994048450669885199e-43 3.631416216764883910e+39
-1.950000000000000000e+01 3.994044689356410399e-43 3.634762750256823727e+39
-1.950000000000000000e+01 3.994040924651538439e-43 3.638112367743782632e+39
-1.950000000000000000e+01 3.994037156435464824e-43 3.641465072076657350e+39
-1.950000000000000000e+01 3.994033384708198316e-43 3.644820866095232768e+39
-1.950000000000000000e+01 3.994029609549626900e-43 3.648179752650408632e+39
-1.950000000000000000e+01 3.994025830919821318e-43 3.651541734587527862e+39
-1.950000000000000000e+01 3.994022048778853909e-43 3.654906814757489604e+39
-1.950000000000000000e+01 3.994018263126728655e-43 3.658274996022306051e+39
-1.950000000000000000e+01 3.994014474003397912e-43 3.661646281238436196e+39
-1.950000000000000000e+01 3.994010681408876018e-43 3.665020673256776162e+39
-1.950000000000000000e+01 3.994006885303230531e-43 3.668398174956014064e+39
-1.950000000000000000e+01 3.994003085686465433e-43 3.671778789187049047e+39
-1.950000000000000000e+01 3.993999282558599045e-43 3.675162518828565602e+39
-1.950000000000000000e+01 3.993995475919633757e-43 3.678549366748136375e+39
-1.950000000000000000e+01 3.993991665809531483e-43 3.681939335818889636e+39
-1.950000000000000000e+01 3.993987852148406629e-43 3.685332428913953046e+39
-1.950000000000000000e+01 3.993984034976220312e-43 3.688728648917570341e+39
-1.950000000000000000e+01 3.993980214292979701e-43 3.692127998713984652e+39
-1.950000000000000000e+01 3.993976390058753948e-43 3.695530481176323643e+39
-1.950000000000000000e+01 3.993972562353438205e-43 3.698936099199947725e+39
-1.950000000000000000e+01 3.993968731057215233e-43 3.702344855674653231e+39
-1.950000000000000000e+01 3.993964896249980183e-43 3.705756753490243747e+39
-1.950000000000000000e+01 3.993961057931738633e-43 3.709171795542075455e+39
-1.950000000000000000e+01 3.993957216022627292e-43 3.712589984725507557e+39
-1.950000000000000000e+01 3.993953370602532549e-43 3.716011323947010496e+39
-1.950000000000000000e+01 3.993949521631525150e-43 3.719435816101944080e+39
-1.950000000000000000e+01 3.993945669109610669e-43 3.722863464102336183e+39
-1.950000000000000000e+01 3.993941813036811411e-43 3.726294270849102232e+39
-1.950000000000000000e+01 3.993937953413123393e-43 3.729728239259829344e+39
-1.950000000000000000e+01 3.993934090198630103e-43 3.733165372246547812e+39
-1.950000000000000000e+01 3.993930223433271949e-43 3.736605672726845359e+39
-1.950000000000000000e+01 3.993926353117064066e-43 3.740049143612748044e+39
-1.950000000000000000e+01 3.993922479210074808e-43 3.743495787838518909e+39
-1.950000000000000000e+01 3.993918601752258920e-43 3.746945608316185828e+39
-1.950000000000000000e+01 3.993914720703681570e-43 3.750398607974450177e+39
-1.950000000000000000e+01 3.993910836104293522e-43 3.753854789753128201e+39
-1.950000000000000000e+01 3.993906947874232281e-43 3.757314156569806412e+39
-1.950000000000000000e+01 3.993903056093381847e-43 3.760776711375417730e+39
-1.950000000000000000e+01 3.993899160721813763e-43 3.764242457098661116e+39
-1.950000000000000000e+01 3.993895261719600364e-43 3.767711396679354625e+39
-1.950000000000000000e+01 3.993891359166629635e-43 3.771183533062870723e+39
-1.950000000000000000e+01 3.993887452983035100e-43 3.774658869194584292e+39
-1.950000000000000000e+01 3.993883543208765129e-43 3.778137408030980849e+39
-1.950000000000000000e+01 3.993879629843834063e-43 3.781619152511879658e+39
-1.950000000000000000e+01 3.993875712848306272e-43 3.785104105593766235e+39
-1.950000000000000000e+01 3.993871792222196890e-43 3.788592270238688362e+39
-1.950000000000000000e+01 3.993867868005458274e-43 3.792083649403132162e+39
-1.950000000000000000e+01 3.993863940158157982e-43 3.795578246049144812e+39
-1.950000000000000000e+01 3.993860008720244385e-43 3.799076063144328506e+39
-1.950000000000000000e+01 3.993856073611855788e-43 3.802577103656284833e+39
-1.950000000000000000e+01 3.993852134912876987e-43 3.806081370547059763e+39
-1.950000000000000000e+01 3.993848192543442301e-43 3.809588866800928993e+39
-1.950000000000000000e+01 3.993844246543500104e-43 3.813099595391050941e+39
-1.950000000000000000e+01 3.993840296913061547e-43 3.816613559296145081e+39
-1.950000000000000000e+01 3.993836343652138579e-43 3.820130761494926657e+39
-1.950000000000000000e+01 3.993832386720805927e-43 3.823651204971671972e+39
-1.950000000000000000e+01 3.993828426159003997e-43 3.827174892716211738e+39
-1.950000000000000000e+01 3.993824461966751110e-43 3.830701827712821653e+39
-1.950000000000000000e+01 3.993820494064179197e-43 3.834232012962446689e+39
-1.950000000000000000e+01 3.993816522531182614e-43 3.837765451454921789e+39
-1.950000000000000000e+01 3.993812547327820952e-43 3.841302146191190716e+39
-1.950000000000000000e+01 3.993808568454115720e-43 3.844842100166644637e+39
-1.950000000000000000e+01 3.993804585910070102e-43 3.848385316393343993e+39
-1.950000000000000000e+01 3.993800599695701624e-43 3.851931797872234358e+39
-1.950000000000000000e+01 3.993796609811023029e-43 3.855481547609820555e+39
-1.950000000000000000e+01 3.993792616256037504e-43 3.859034568623722270e+39
-1.950000000000000000e+01 3.993788618990824555e-43 3.862590863925998130e+39
-1.950000000000000000e+01 3.993784618055326184e-43 3.866150436528712200e+39
-1.950000000000000000e+01 3.993780613409624284e-43 3.869713289460595405e+39
-1.950000000000000000e+01 3.993776605093659265e-43 3.873279425744825466e+39
-1.950000000000000000e+01 3.993772593067507446e-43 3.876848848399019047e+39
-1.950000000000000000e+01 3.993768577371123573e-43 3.880421560463024352e+39
-1.950000000000000000e+01 3.993764557924634795e-43 3.883997564954461671e+39
-1.950000000000000000e+01 3.993760534807937062e-43 3.887576864918733015e+39
-1.950000000000000000e+01 3.993756507941154340e-43 3.891159463390132178e+39
-1.950000000000000000e+01 3.993752477404186558e-43 3.894745363402946910e+39
-1.950000000000000000e+01 3.993748443117155294e-43 3.898334568002583453e+39
-1.950000000000000000e+01 3.993744405120023256e-43 3.901927080240003666e+39
-1.950000000000000000e+01 3.993740363372854021e-43 3.905522903155056963e+39
-1.950000000000000000e+01 3.993736317915604723e-43 3.909122039809817046e+39
-1.950000000000000000e+01 3.993732268748273769e-43 3.912724493244135141e+39
-1.950000000000000000e+01 3.993728215830955004e-43 3.916330266520087367e+39
-1.950000000000000000e+01 3.993724159163640462e-43 3.919939362705305463e+39
-1.950000000000000000e+01 3.993720098786290463e-43 3.923551784850754915e+39
